SnmpWalk v1.01 - Copyright (C) 2009 SnmpSoft Company
[ More useful network tools on http://www.snmpsoft.com ]

OID=.1.0.8802.1.1.2.1.1.6.1.3.49, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.50, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.51, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.52, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.4.1, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.2, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.3, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.4, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.5, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.6, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.7, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.8, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.9, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.10, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.11, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.12, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.13, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.14, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.15, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.16, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.17, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.18, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.19, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.20, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.21, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.22, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.23, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.24, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.25, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.26, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.27, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.28, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.29, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.30, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.31, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.32, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.33, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.34, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.35, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.36, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.37, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.38, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.39, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.40, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.41, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.42, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.43, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.44, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.45, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.46, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.47, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.48, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.49, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.50, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.51, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.6.1.4.52, Type=OctetString, Value=  F0                                                 
OID=.1.0.8802.1.1.2.1.1.7.1.1.1.4.10.0.0.85, Type=OctetString, Value=  FF FF FF FF FF FF F0 00 00 00 00 00 00 00 00 00      00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00      00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00      00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00    
OID=.1.0.8802.1.1.2.1.2.1.0, Type=TimeTicks, Value=200 days, 3:28:38.00
OID=.1.0.8802.1.1.2.1.2.2.0, Type=Gauge32, Value=3
OID=.1.0.8802.1.1.2.1.2.3.0, Type=Gauge32, Value=2
OID=.1.0.8802.1.1.2.1.2.4.0, Type=Gauge32, Value=0
OID=.1.0.8802.1.1.2.1.2.5.0, Type=Gauge32, Value=2
OID=.1.0.8802.1.1.2.1.2.6.1.2.1, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.2, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.3, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.4, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.5, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.6, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.7, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.6.1.2.8, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.6.1.2.9, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.6.1.2.10, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.6.1.2.11, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.6.1.2.12, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.6.1.2.13, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.6.1.2.14, Type=Counter32, Value=3274
OID=.1.0.8802.1.1.2.1.2.6.1.2.15, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.16, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.17, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.18, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.19, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.20, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.21, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.22, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.23, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.24, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.25, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.26, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.27, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.28, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.29, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.30, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.31, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.32, Type=Counter32, Value=3270
